Z,h,K,T,persistence,biomass,stability
1.0,1.0,10.0,298.15,0.3,"[10.0, 0.0, 0.2817464325216407, 0.281822827861923, 0.0, 0.2818228284750683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10318402787607692, 0.0, 0.0, 0.0, 0.3184879662742343, 0.0, 0.0, 0.0]",-0.0038238807301974463
1.0,1.0,10.0,303.15,0.3,"[10.0, 0.0, 0.40447046231417483, 0.40447046231418127, 0.0, 0.40447046231418127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1391727685432258, 0.0, 0.0, 0.0, 0.461538435950242, 0.0, 0.0, 0.0]",-0.0038148610866163123
1.0,1.2,0.1,283.15,0.6,"[0.09999999999999987, 0.05341113320841671, 0.05341113320841671, 0.05364202355274109, 0.00019339185259183693, 0.053615943014331806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03329356466311651, 0.027325711650636162, 0.0, 0.0, 0.05954354444267101, 0.026790491010377563, 0.0006760606142775663, 2.180075300272133e-5]",-0.00010091121815183209
1.0,1.2,0.1,288.15,0.6,"[0.1000000440518234, 0.06235611317170924, 0.06235611317170924, 0.0625003388788697, 0.0001556037249255853, 0.06249540136123814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036259717718776986, 0.0359048825920293, 0.0, 0.0, 0.06900176463621378, 0.03536103535497832, 0.0007982530370479209, 5.312165602550633e-6]",-0.00012773415440675754
1.0,1.2,0.1,293.15,0.55,"[0.10002010702226033, 0.07052609793622051, 0.07052609793622051, 0.07056176050483523, 4.985372446114803e-5, 0.07056176050483523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03813284062302166, 0.04617075084636528, 0.0, 0.0, 0.07572893640536674, 0.045801076393955864, 0.0006418422777406315, 0.0]",-5.796670047857509e-5
1.0,1.2,0.1,298.15,0.5,"[0.10000921956826948, 0.07733430115324577, 0.07733430115324577, 0.07733430115349975, 0.0, 0.07733430115349975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0391683731761055, 0.0575745111433699, 0.0, 0.0, 0.07757369271927396, 0.05745919586106345, 0.00024160315405966497, 0.0]",-8.745835517243686e-5
1.0,1.2,0.1,303.15,0.5,"[0.10001938438106683, 0.08234664237328519, 0.08234664237328519, 0.08234664237328519, 0.0, 0.08234664237328519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04052153782645643, 0.06939008993302613, 0.0, 0.0, 0.07250485055540527, 0.06938770402463035, 6.135804572635107e-6, 0.0]",-8.386264922783578e-5
1.0,1.2,0.16681005372000587,283.15,0.6,"[0.16681005372000612, 0.06155579299948667, 0.06155579299948667, 0.06339294344956407, 0.0010209811587773175, 0.06288233384666266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04305950817532525, 0.021464440728223788, 0.0, 0.0, 0.07490733510373, 0.020001791987794042, 0.0018307139627900665, 0.00028132404100788367]",-0.00011639264712863148
1.0,1.2,0.16681005372000587,288.15,0.6,"[0.166810053720006, 0.07439426468976222, 0.07439426468976222, 0.07679666174849362, 0.001660003440176135, 0.07645378925240608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05010147579332939, 0.0290255862064905, 0.0, 0.0, 0.09301792475951773, 0.02686031542571238, 0.002931509435198089, 0.00023530458545656982]",-0.0001414008397529775
1.0,1.2,0.16681005372000587,293.15,0.6,"[0.166810053720006, 0.08811528881164406, 0.08811528881164406, 0.09082436847451092, 0.0023471315977936116, 0.09064485777302865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05620283709957642, 0.039138424082372954, 0.0, 0.0, 0.11149478884786566, 0.036332076767173864, 0.004147704960266211, 0.00015447396540590997]",-0.00036760070135853206
1.0,1.2,0.16681005372000587,298.15,0.6,"[0.1666927790590593, 0.10212641535900943, 0.10212641535900943, 0.10470540910135723, 0.0028225430803139073, 0.10463763783417644, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060747739713588246, 0.05184135043903257, 0.0, 0.0, 0.1288948897563755, 0.048697263696792975, 0.005180960843874549, 7.366402001084668e-5]",-3.053583459642688e-5
1.0,1.2,0.16681005372000587,303.15,0.6,"[0.1667626600727439, 0.11560882265507108, 0.11560882265507108, 0.11752203132923185, 0.0026606136319834313, 0.11750669718385379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06344661092716515, 0.06681468878934463, 0.0, 0.0, 0.14342129721088673, 0.06385847485072951, 0.005566875004689135, 2.1215088903057387e-5]",-7.126264615254295e-5
1.0,1.2,0.2782559402207124,283.15,0.65,"[0.2782559402207123, 0.06694170730219381, 0.0669417073021939, 0.071522118478022, 0.0017974769172738607, 0.06953458825998865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05038997477476543, 0.016235084306453217, 1.7170614441853837e-6, 0.0, 0.08562921433543035, 0.014298548820257455, 0.0028553379670923167, 0.0007683204368545887]",-0.00022077181221461217
1.0,1.2,0.2782559402207124,288.15,0.65,"[0.2782559402207123, 0.08260760097532445, 0.08260760097532445, 0.0891674853730047, 0.0030889353312770255, 0.08729949083253848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06117842426393548, 0.021751682933426504, 2.169115377750995e-6, 0.0, 0.11002959229417192, 0.018624776760825388, 0.004845377617928121, 0.0008651547886028747]",-0.0003968506893775228
1.0,1.2,0.2782559402207124,293.15,0.65,"[0.2782559402207123, 0.10033985493167549, 0.10033985493167549, 0.10889137533197452, 0.004895851710012552, 0.10735315610291415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07262972102453828, 0.029844558517094277, 2.5830219966973252e-6, 0.0, 0.13738639235564046, 0.025147670741813694, 0.007454441232680214, 0.0008639689945457401]",-0.0005257562407180259
1.0,1.2,0.2782559402207124,298.15,0.65,"[0.2782559402207123, 0.11971950704986957, 0.11971950704986957, 0.13004706894329654, 0.007251679501425788, 0.12894837278112714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08349897870869263, 0.041141463632646626, 2.5257724075858965e-6, 0.0, 0.16718029820713837, 0.03459849838569206, 0.010636854576557466, 0.0007558826161161353]",-0.0005592352209179874
1.0,1.2,0.2782559402207124,303.15,0.65,"[0.2782559402207123, 0.14021554319615415, 0.14021554319615415, 0.1518567086091214, 0.01010619369522393, 0.1511883624717151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09309283316555335, 0.056117052236803064, 1.92768602362218e-6, 0.0, 0.1981473588340075, 0.04772243695421723, 0.014217662083782775, 0.0005683666589962185]",-0.0006824070522260827
1.0,1.2,0.4641588833612779,283.15,0.65,"[0.4641588833612784, 0.07049725395903489, 0.07049725395906466, 0.07837472416704042, 0.0023355332137193112, 0.0741891934908535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055542824752005136, 0.012409547516937151, 3.854502056446647e-6, 0.0, 0.09338533009870813, 0.010403993338052466, 0.003783995803412112, 0.0012135284278811753]",-0.0002494765544118071
1.0,1.2,0.4641588833612779,288.15,0.65,"[0.4641588833612784, 0.08823713204590364, 0.08823713204590364, 0.10002194024670535, 0.004040645358103603, 0.09538791283375815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06945228283241651, 0.01596304649486627, 6.161179310274592e-6, 0.0, 0.12254744278802997, 0.012721871542756542, 0.00660903962110308, 0.0015441343463348154]",-0.0005174251026800843
